                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  482269345 |  481407950 |  480555981 |  470910507
  Cycles                             |  517546208 |  517546208 |  517546208 |  517546208
  IPC                                |       0.93 |       0.93 |       0.93 |       0.91
  Time (ns)                          |  194566244 |  194566244 |  194566244 |  194566244
  Idle time (ns)                     |    7710794 |    7689050 |    7866598 |    7810188
  Idle time (%)                      |       4.0% |       4.0% |       4.0% |       4.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   44301082 |   44782108 |   44666846 |   43351664
  num incorrect                      |    3710293 |    3655164 |    3650391 |    3693420
  misprediction rate                 |      7.73% |      7.55% |      7.56% |      7.85%
  mpki                               |       7.69 |       7.59 |       7.60 |       7.84
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   64635177 |   65759407 |   65312122 |   62943936
    num misses                       |         15 |         46 |         44 |         50
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  195663851 |  194396559 |  193958697 |  190894679
    num misses                       |     993854 |    1127192 |    1040912 |    1052426
    miss rate                        |      0.51% |      0.58% |      0.54% |      0.55%
    mpki                             |       2.06 |       2.34 |       2.17 |       2.23
  L2 TLB                             |            |            |            |           
    num accesses                     |     993869 |    1127238 |    1040956 |    1052476
    num misses                       |     125864 |     150979 |     121859 |     145306
    miss rate                        |     12.66% |     13.39% |     11.71% |     13.81%
    mpki                             |       0.26 |       0.31 |       0.25 |       0.31
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   64635177 |   65759407 |   65312122 |   62943936
    num cache misses                 |     186271 |     199072 |     203714 |     214109
    miss rate                        |      0.29% |      0.30% |      0.31% |      0.34%
    mpki                             |       0.39 |       0.41 |       0.42 |       0.45
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  195858518 |  194578343 |  194160102 |  191083231
    num cache misses                 |    5418457 |    7070732 |    6121123 |    6070179
    miss rate                        |      2.77% |      3.63% |      3.15% |      3.18%
    mpki                             |      11.24 |      14.69 |      12.74 |      12.89
  Cache L2                           |            |            |            |           
    num cache accesses               |    5633253 |    7293026 |    6351165 |    6309432
    num cache misses                 |    1160060 |    1051466 |     929771 |    1142296
    miss rate                        |     20.59% |     14.42% |     14.64% |     18.10%
    mpki                             |       2.41 |       2.18 |       1.93 |       2.43
  Cache L3                           |            |            |            |           
    num cache accesses               |    1188582 |    1074687 |     956118 |    1167441
    num cache misses                 |      63538 |      69061 |      74592 |      88871
    miss rate                        |      5.35% |      6.43% |      7.80% |      7.61%
    mpki                             |       0.13 |       0.14 |       0.16 |       0.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |     416968 |          0 |          0 |          0
  average dram access latency (ns)   |      57.93 |        inf |        inf |        inf
  average dram queueing delay        |       4.50 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      63023 |      68807 |      74228 |      88008
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
