                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  482800153 |  483590000 |  482096313 |  471681712
  Cycles                             |  508788690 |  508788690 |  508788690 |  508788690
  IPC                                |       0.95 |       0.95 |       0.95 |       0.93
  Time (ns)                          |  191273944 |  191273944 |  191273944 |  191273944
  Idle time (ns)                     |    8178420 |    7925470 |    8324994 |    8164257
  Idle time (%)                      |       4.3% |       4.1% |       4.4% |       4.3%
Branch predictor stats               |            |            |            |           
  num correct                        |   44370132 |   45006378 |   44779733 |   43477561
  num incorrect                      |    3719402 |    3670699 |    3654793 |    3697485
  misprediction rate                 |      7.73% |      7.54% |      7.55% |      7.84%
  mpki                               |       7.70 |       7.59 |       7.58 |       7.84
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   63978769 |   66125139 |   65480483 |   63160194
    num misses                       |         26 |         46 |         47 |         45
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  195247619 |  195235756 |  194644609 |  191166208
    num misses                       |    1155416 |    1158672 |    1069945 |    1104815
    miss rate                        |      0.59% |      0.59% |      0.55% |      0.58%
    mpki                             |       2.39 |       2.40 |       2.22 |       2.34
  L2 TLB                             |            |            |            |           
    num accesses                     |    1155442 |    1158718 |    1069992 |    1104860
    num misses                       |     134078 |     149133 |     117263 |     148822
    miss rate                        |     11.60% |     12.87% |     10.96% |     13.47%
    mpki                             |       0.28 |       0.31 |       0.24 |       0.32
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   63978769 |   66125139 |   65480483 |   63160194
    num cache misses                 |      85493 |      81617 |      81438 |     101969
    miss rate                        |      0.13% |      0.12% |      0.12% |      0.16%
    mpki                             |       0.18 |       0.17 |       0.17 |       0.22
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  195441067 |  195416414 |  194848646 |  191355344
    num cache misses                 |    1211561 |    1141841 |     999163 |    1260643
    miss rate                        |      0.62% |      0.58% |      0.51% |      0.66%
    mpki                             |       2.51 |       2.36 |       2.07 |       2.67
  Cache L2                           |            |            |            |           
    num cache accesses               |    1325291 |    1246418 |    1108497 |    1387461
    num cache misses                 |    1297054 |    1223459 |    1080602 |    1362612
    miss rate                        |     97.87% |     98.16% |     97.48% |     98.21%
    mpki                             |       2.69 |       2.53 |       2.24 |       2.89
  Cache L3                           |            |            |            |           
    num cache accesses               |    1325291 |    1246418 |    1108497 |    1387461
    num cache misses                 |      63474 |      67213 |      74177 |      83089
    miss rate                        |      4.79% |      5.39% |      6.69% |      5.99%
    mpki                             |       0.13 |       0.14 |       0.15 |       0.18
DRAM summary                         |            |            |            |           
  num dram accesses                  |     408455 |          0 |          0 |          0
  average dram access latency (ns)   |      57.97 |        inf |        inf |        inf
  average dram queueing delay        |       4.54 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      62837 |      66860 |      73854 |      82578
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
