                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   10760144 |   10770258 |   10757886 |   10777739
  Cycles                             |   26108833 |   26108833 |   26108833 |   26108833
  IPC                                |       0.41 |       0.41 |       0.41 |       0.41
  Time (ns)                          |    9815351 |    9815351 |    9815351 |    9815351
  Idle time (ns)                     |      67484 |      57746 |      78745 |      74866
  Idle time (%)                      |       0.7% |       0.6% |       0.8% |       0.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     340033 |     341153 |     339762 |     342364
  num incorrect                      |        461 |        317 |        211 |        224
  misprediction rate                 |      0.14% |      0.09% |      0.06% |      0.07%
  mpki                               |       0.04 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     594623 |     598463 |     596945 |     602070
    num misses                       |          7 |         29 |         29 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    1212833 |    1219441 |    1214049 |    1224316
    num misses                       |      97521 |      97653 |      97619 |      97542
    miss rate                        |      8.04% |      8.01% |      8.04% |      7.97%
    mpki                             |       9.06 |       9.07 |       9.07 |       9.05
  L2 TLB                             |            |            |            |           
    num accesses                     |      97528 |      97682 |      97648 |      97571
    num misses                       |       5740 |       5811 |       5754 |       5773
    miss rate                        |      5.89% |      5.95% |      5.89% |      5.92%
    mpki                             |       0.53 |       0.54 |       0.53 |       0.54
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     594623 |     598463 |     596945 |     602070
    num cache misses                 |       1007 |        645 |        516 |        497
    miss rate                        |      0.17% |      0.11% |      0.09% |      0.08%
    mpki                             |       0.09 |       0.06 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    1213050 |    1219598 |    1214200 |    1224483
    num cache misses                 |     214812 |     214793 |     211460 |     211019
    miss rate                        |     17.71% |     17.61% |     17.42% |     17.23%
    mpki                             |      19.96 |      19.94 |      19.66 |      19.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     215989 |     215757 |     212108 |     211626
    num cache misses                 |      29135 |      30048 |      28849 |      29167
    miss rate                        |     13.49% |     13.93% |     13.60% |     13.78%
    mpki                             |       2.71 |       2.79 |       2.68 |       2.71
  Cache L3                           |            |            |            |           
    num cache accesses               |      29436 |      30499 |      29111 |      29276
    num cache misses                 |       8762 |       8797 |       8603 |       8685
    miss rate                        |     29.77% |     28.84% |     29.55% |     29.67%
    mpki                             |       0.81 |       0.82 |       0.80 |       0.81
DRAM summary                         |            |            |            |           
  num dram accesses                  |      34847 |          0 |          0 |          0
  average dram access latency (ns)   |    7180.83 |        inf |        inf |        inf
  average dram queueing delay        |    7127.40 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2114 |       2222 |       2076 |       2183
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
