                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   10759994 |   10769529 |   10759415 |   10780928
  Cycles                             |   26009349 |   26009349 |   26009349 |   26009349
  IPC                                |       0.41 |       0.41 |       0.41 |       0.41
  Time (ns)                          |    9777951 |    9777951 |    9777951 |    9777951
  Idle time (ns)                     |      74977 |      60518 |      73235 |      76951
  Idle time (%)                      |       0.8% |       0.6% |       0.7% |       0.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     339992 |     341074 |     339959 |     342798
  num incorrect                      |        477 |        290 |        256 |        298
  misprediction rate                 |      0.14% |      0.08% |      0.08% |      0.09%
  mpki                               |       0.04 |       0.03 |       0.02 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     594593 |     598413 |     597038 |     602447
    num misses                       |          7 |         29 |         29 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    1212767 |    1219106 |    1214583 |    1225717
    num misses                       |      97519 |      97659 |      97609 |      97634
    miss rate                        |      8.04% |      8.01% |      8.04% |      7.97%
    mpki                             |       9.06 |       9.07 |       9.07 |       9.06
  L2 TLB                             |            |            |            |           
    num accesses                     |      97526 |      97688 |      97638 |      97663
    num misses                       |       5748 |       5797 |       5779 |       5821
    miss rate                        |      5.89% |      5.93% |      5.92% |      5.96%
    mpki                             |       0.53 |       0.54 |       0.54 |       0.54
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     594593 |     598413 |     597038 |     602447
    num cache misses                 |        521 |        538 |        460 |        471
    miss rate                        |      0.09% |      0.09% |      0.08% |      0.08%
    mpki                             |       0.05 |       0.05 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    1212978 |    1219289 |    1214730 |    1225903
    num cache misses                 |      28827 |      29797 |      29046 |      29176
    miss rate                        |      2.38% |      2.44% |      2.39% |      2.38%
    mpki                             |       2.68 |       2.77 |       2.70 |       2.71
  Cache L2                           |            |            |            |           
    num cache accesses               |      29708 |      30724 |      29643 |      29878
    num cache misses                 |      29348 |      30335 |      29506 |      29648
    miss rate                        |     98.79% |     98.73% |     99.54% |     99.23%
    mpki                             |       2.73 |       2.82 |       2.74 |       2.75
  Cache L3                           |            |            |            |           
    num cache accesses               |      29708 |      30724 |      29643 |      29878
    num cache misses                 |       8772 |       8767 |       8600 |       8705
    miss rate                        |     29.53% |     28.53% |     29.01% |     29.14%
    mpki                             |       0.82 |       0.81 |       0.80 |       0.81
DRAM summary                         |            |            |            |           
  num dram accesses                  |      34844 |          0 |          0 |          0
  average dram access latency (ns)   |    9186.32 |        inf |        inf |        inf
  average dram queueing delay        |    9132.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2055 |       2167 |       2014 |       2136
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
